Date;Filière;Valeur (GW)
12/06/2019;Enveloppe basse 2014 - 2019;46,00344381
13/06/2019;Enveloppe basse 2014 - 2019;46,73303735
14/06/2019;Enveloppe basse 2014 - 2019;46,62221183
15/06/2019;Enveloppe basse 2014 - 2019;47,0411861
16/06/2019;Enveloppe basse 2014 - 2019;46,73000567
17/06/2019;Enveloppe basse 2014 - 2019;41,32037056
18/06/2019;Enveloppe basse 2014 - 2019;38,3241061
19/06/2019;Enveloppe basse 2014 - 2019;45,76349994
20/06/2019;Enveloppe basse 2014 - 2019;47,2764655
21/06/2019;Enveloppe basse 2014 - 2019;47,23489629
22/06/2019;Enveloppe basse 2014 - 2019;46,90600669
23/06/2019;Enveloppe basse 2014 - 2019;46,23118485
24/06/2019;Enveloppe basse 2014 - 2019;40,92550517
25/06/2019;Enveloppe basse 2014 - 2019;38,66619365
26/06/2019;Enveloppe basse 2014 - 2019;46,13818781
27/06/2019;Enveloppe basse 2014 - 2019;47,55580688
28/06/2019;Enveloppe basse 2014 - 2019;47,93182279
29/06/2019;Enveloppe basse 2014 - 2019;47,27845992
30/06/2019;Enveloppe basse 2014 - 2019;46,73287338
01/07/2019;Enveloppe basse 2014 - 2019;41,86524594
02/07/2019;Enveloppe basse 2014 - 2019;38,81320121
03/07/2019;Enveloppe basse 2014 - 2019;46,16537831
04/07/2019;Enveloppe basse 2014 - 2019;47,84185088
05/07/2019;Enveloppe basse 2014 - 2019;48,12699063
06/07/2019;Enveloppe basse 2014 - 2019;48,56197725
07/07/2019;Enveloppe basse 2014 - 2019;47,98436075
08/07/2019;Enveloppe basse 2014 - 2019;42,18001752
09/07/2019;Enveloppe basse 2014 - 2019;39,11529602
10/07/2019;Enveloppe basse 2014 - 2019;46,31754213
11/07/2019;Enveloppe basse 2014 - 2019;47,64036842
12/07/2019;Enveloppe basse 2014 - 2019;47,32503446
13/07/2019;Enveloppe basse 2014 - 2019;48,20741023
14/07/2019;Enveloppe basse 2014 - 2019;39,40969121
15/07/2019;Enveloppe basse 2014 - 2019;41,1561665
16/07/2019;Enveloppe basse 2014 - 2019;38,92903733
17/07/2019;Enveloppe basse 2014 - 2019;44,49939292
18/07/2019;Enveloppe basse 2014 - 2019;47,15310288
19/07/2019;Enveloppe basse 2014 - 2019;48,34731265
20/07/2019;Enveloppe basse 2014 - 2019;48,33070302
21/07/2019;Enveloppe basse 2014 - 2019;47,57452565
22/07/2019;Enveloppe basse 2014 - 2019;42,07955592
23/07/2019;Enveloppe basse 2014 - 2019;39,11931767
24/07/2019;Enveloppe basse 2014 - 2019;46,0061795
25/07/2019;Enveloppe basse 2014 - 2019;46,96547179
26/07/2019;Enveloppe basse 2014 - 2019;47,25507967
27/07/2019;Enveloppe basse 2014 - 2019;47,20683646
28/07/2019;Enveloppe basse 2014 - 2019;46,24255398
29/07/2019;Enveloppe basse 2014 - 2019;41,18907785
30/07/2019;Enveloppe basse 2014 - 2019;37,70190104
31/07/2019;Enveloppe basse 2014 - 2019;43,13990396
01/08/2019;Enveloppe basse 2014 - 2019;44,19655425
02/08/2019;Enveloppe basse 2014 - 2019;44,59579958
03/08/2019;Enveloppe basse 2014 - 2019;44,3162796
04/08/2019;Enveloppe basse 2014 - 2019;42,95413656
05/08/2019;Enveloppe basse 2014 - 2019;39,22025577
06/08/2019;Enveloppe basse 2014 - 2019;36,77587819
07/08/2019;Enveloppe basse 2014 - 2019;41,71123265
08/08/2019;Enveloppe basse 2014 - 2019;42,378998
09/08/2019;Enveloppe basse 2014 - 2019;41,95000594
10/08/2019;Enveloppe basse 2014 - 2019;41,91233646
11/08/2019;Enveloppe basse 2014 - 2019;41,7019579
12/08/2019;Enveloppe basse 2014 - 2019;38,53419006
13/08/2019;Enveloppe basse 2014 - 2019;36,49253573
14/08/2019;Enveloppe basse 2014 - 2019;40,13740302
15/08/2019;Enveloppe basse 2014 - 2019;37,1579365
16/08/2019;Enveloppe basse 2014 - 2019;41,25258652
17/08/2019;Enveloppe basse 2014 - 2019;41,08989904
18/08/2019;Enveloppe basse 2014 - 2019;40,10656529
19/08/2019;Enveloppe basse 2014 - 2019;37,43998852
20/08/2019;Enveloppe basse 2014 - 2019;35,48169773
21/08/2019;Enveloppe basse 2014 - 2019;40,85351452
22/08/2019;Enveloppe basse 2014 - 2019;42,10059402
23/08/2019;Enveloppe basse 2014 - 2019;42,57473738
24/08/2019;Enveloppe basse 2014 - 2019;43,16140844
25/08/2019;Enveloppe basse 2014 - 2019;43,47739694
26/08/2019;Enveloppe basse 2014 - 2019;39,79227029
27/08/2019;Enveloppe basse 2014 - 2019;37,14390913
28/08/2019;Enveloppe basse 2014 - 2019;43,83190006
29/08/2019;Enveloppe basse 2014 - 2019;45,06841927
30/08/2019;Enveloppe basse 2014 - 2019;46,10848577
31/08/2019;Enveloppe basse 2014 - 2019;46,80921981
01/09/2019;Enveloppe basse 2014 - 2019;46,33882367
02/09/2019;Enveloppe basse 2014 - 2019;41,22654581
03/09/2019;Enveloppe basse 2014 - 2019;38,55280977
04/09/2019;Enveloppe basse 2014 - 2019;45,33124529
05/09/2019;Enveloppe basse 2014 - 2019;46,69673985
06/09/2019;Enveloppe basse 2014 - 2019;47,02054565
07/09/2019;Enveloppe basse 2014 - 2019;46,6235146
08/09/2019;Enveloppe basse 2014 - 2019;46,07566323
09/09/2019;Enveloppe basse 2014 - 2019;40,91299352
10/09/2019;Enveloppe basse 2014 - 2019;39,02836423
11/09/2019;Enveloppe basse 2014 - 2019;46,06615321
12/09/2019;Enveloppe basse 2014 - 2019;47,00876465
13/09/2019;Enveloppe basse 2014 - 2019;47,19421477
14/09/2019;Enveloppe basse 2014 - 2019;47,22360758
15/09/2019;Enveloppe basse 2014 - 2019;46,6157986
16/09/2019;Enveloppe basse 2014 - 2019;41,37503115
17/09/2019;Enveloppe basse 2014 - 2019;39,18079317
18/09/2019;Enveloppe basse 2014 - 2019;46,17053171
19/09/2019;Enveloppe basse 2014 - 2019;47,0820239
20/09/2019;Enveloppe basse 2014 - 2019;46,92286685
21/09/2019;Enveloppe basse 2014 - 2019;46,79614429
22/09/2019;Enveloppe basse 2014 - 2019;46,40058406
23/09/2019;Enveloppe basse 2014 - 2019;41,22930192
24/09/2019;Enveloppe basse 2014 - 2019;38,78444063
25/09/2019;Enveloppe basse 2014 - 2019;45,190002
26/09/2019;Enveloppe basse 2014 - 2019;46,5010089
27/09/2019;Enveloppe basse 2014 - 2019;47,23501548
28/09/2019;Enveloppe basse 2014 - 2019;47,59940538
29/09/2019;Enveloppe basse 2014 - 2019;46,77990244
30/09/2019;Enveloppe basse 2014 - 2019;41,65422765
01/10/2019;Enveloppe basse 2014 - 2019;39,54154052
02/10/2019;Enveloppe basse 2014 - 2019;46,50742288
